country_code	domain_code	actual
TW	0018d00000K0b5eAAB	3232.796546
BR	0018d00000K0WGsAAN	3232.12575
NL	0018d00000MXqXvAAL	3200.233543
HK	0018d00000K0ZBUAA3	3200
AE	0018d00000K0ZFkAAN	3197
AE	0018d00000K0btTAAR	3188
TR	0018d00000K0YLEAA3	3183.82536
NL	0018d00000K0b9mAAB	3180.759636
BR	0018d00000K0ZveAAF	3171.502099
TR	0018d00000K0ZWCAA3	3168.264509
UK	0018d00000MVLk6AAH	3151.211992
ID	0018d00000K0WuBAAV	3150
SG	0018d00000K0X62AAF	3140.3
TR	0018d00000K0aScAAJ	3124.521335
VN	0018d00000K0WHkAAN	3121.440588
TR	0018d00000K0WFJAA3	3084.371968
TR	0018d00000K0aUFAAZ	3079.87181
KR	0018d00000K0VNlAAN	3073.494157
KR	0018d00000fQ5h2AAC	3066.141851
AE	0018d00000K0Ui8AAF	3065
TR	0018d00000K0XFSAA3	3055.000525
TR	0018d00000K0Y06AAF	3046.407727
AE	0018d00000l5SYtAAM	3045
VN	0018d00000K0YYkAAN	3037
TR	0018d00000K0Uz1AAF	3013.44368
ID	0018d00000MXtB8AAL	3000
TR	0018d00000K0Vm2AAF	2997.040715
UK	0018d00000K0WsqAAF	2994.974337
TR	001Pz0000062AhNIAU	2994.072579
AE	0018d00000K0UKsAAN	2990
VN	0018d00000K0YfuAAF	2990
BR	0018d00000etYtaAAE	2985.584933
VN	0018d00000K0ZebAAF	2979
BR	0018d00000K0c21AAB	2973.097952
BR	0018d00000etp1jAAA	2973.097504
VN	0018d00000K0YpoAAF	2970
PL	0018d00000K0VuCAAV	2959.461846
AE	0018d00000K0bPEAAZ	2957
TH	0018d00000K0U4iAAF	2950
AU	0018d00000K0bB9AAJ	2930.420421
SG	0018d00000K0TieAAF	2919
ID	0018d00000K0XN6AAN	2907.553491
MY	0018d00000K0b3cAAB	2904
ID	0018d00000K0WUXAA3	2888
TW	0018d00000K0a1DAAR	2880
UK	0018d00000K0bHTAAZ	2876.536897
TR	0018d00000K0VrfAAF	2874.560017
BR	0018d00000K0bbaAAB	2857.543023
AU	0018d00000K0UFsAAN	2855.046494
NL	0018d00000RlHJWAA3	2854.028407
SG	001Pz000005lkCfIAI	2849
UK	0018d00000K0YfPAAV	2834.956807
ES	0018d00000PPvnsAAD	2824.817545
SG	0018d00000K0YVcAAN	2822
TR	0018d00000K0WRxAAN	2816.381079
AE	0018d00000K0XspAAF	2814
FR	0018d00000K0c3oAAB	2812.917872
ES	0018d00000K0W6vAAF	2812.916537
TR	0018d00000K0aaJAAR	2812.325
TR	0018d00000K0WQFAA3	2812.069
RU	0018d00000K0aKTAAZ	2789.458232
ID	0018d00000K0cBoAAJ	2780
BR	0018d00000K0Th6AAF	2774.885483
ID	0018d00000K0VigAAF	2773.5261
TW	001Pz000008ILkXIAW	2754.512658
TR	0018d00000K0ZKBAA3	2751.328619
TR	0018d00000KPB5iAAH	2749.578427
TR	0018d00000K0Z0GAAV	2746.642258
US	0018d00000K0X3KAAV	2746
TR	0018d00000K0U57AAF	2733.956556
SC	0018d00000K0WNzAAN	2730
TR	0018d00000K0YgRAAV	2724.583195
SC	0018d00000K0YkPAAV	2720
TR	0018d00000K0Y2GAAV	2718.333791
TR	0018d00000K0cTyAAJ	2716.927796
AE	0018d00000K0a66AAB	2709
NL	0018d00000K0ZxUAAV	2704.727966
SC	0018d00000K0YyRAAV	2700
AE	0018d00000K0YZ3AAN	2691
BR	0018d00000fqg6SAAQ	2690.652896
TR	0018d00000K0V1aAAF	2687.088718
SC	0018d00000K0W9OAAV	2687
BR	0018d00000WD5UNAA1	2684.905191
AE	0018d00000K0amtAAB	2675
AE	0018d00000XeSPEAA3	2673
UK	0018d00000K0afoAAB	2672.419008
TR	0018d00000K0UF8AAN	2671.465899
MY	0018d00000K0Z36AAF	2668.016378
TR	0018d00000jbZhyAAE	2662.872688
AE	0018d00000K0Z5aAAF	2660
TW	0018d00000K0YsbAAF	2653.722611
AU	0018d00000K0cFtAAJ	2646.620562
TR	0018d00000K0ZORAA3	2640.220358
AE	0018d00000K0UzMAAV	2640
PL	0018d00000K0W4LAAV	2627.912505
TR	0018d00000K0ZFCAA3	2624.59725
BR	0018d00000K0Yo3AAF	2616.32565
TR	0018d00000T4GWYAA3	2614.034
TW	0018d00000K0YtgAAF	2613.656893
BR	0018d00000icR17AAE	2604.235598
TR	0018d00000T4GXCAA3	2601.428
SG	0018d00000K0avQAAR	2600
TR	0018d00000K0UYkAAN	2568.356325
BR	0018d00000MVWyrAAH	2566.773743
TR	0018d00000K0X1IAAV	2562.107085
VN	0018d00000K0X0GAAV	2560
BR	0018d00000K0YwjAAF	2534.466094
AE	0018d00000K0ZFYAA3	2533
ID	0018d00000VOw6MAAT	2528.571122
ID	0018d00000UfsyhAAB	2520
TR	0018d00000K0Xo3AAF	2517.239019
TR	0018d00000K0UdzAAF	2499.617594
TR	0018d00000K0Z2lAAF	2499.617519
TR	0018d00000K0ToiAAF	2483.994667
ID	0018d00000K0VcqAAF	2481
BR	0018d00000K0VYjAAN	2477.581334
BR	0018d00000OA4DTAA1	2464.698271
TR	0018d00000k9heQAAQ	2461.841979
AE	0018d00000K0axpAAB	2450
TR	0018d00000k8YPhAAM	2437.126357
PL	001Pz00000APOFtIAP	2428.316
TR	0018d00000K0VgIAAV	2415.255443
AE	0018d00000K0YCyAAN	2415
TW	0018d00000K0bT9AAJ	2410.199501
TW	0018d00000VMthAAAT	2410.199032
TW	0018d00000cA0GkAAK	2408.946611
TW	0018d00000K0c30AAB	2400
PL	0018d00000K0XsTAAV	2390.979111
ID	0018d00000T2ywnAAB	2380
AE	0018d00000K0WTqAAN	2373
AE	0018d00000K0TwLAAV	2358
KR	0018d00000WCU44AAH	2352.91381
VN	0018d00000K0U8jAAF	2350
TR	0018d00000K0XcdAAF	2341.516636
ID	0018d00000K0UhbAAF	2329.447014
BR	001Pz00000A2gzxIAB	2328.134
TR	0018d00000K0YrgAAF	2307.020846
TR	0018d00000K0XtAAAV	2293.773656
TR	0018d00000K0bndAAB	2293.398948
TR	0018d00000K0VjPAAV	2280.900726
TW	0018d00000K0YOwAAN	2273.913164
AE	0018d00000echIuAAI	2273
TR	0018d00000O91SAAAZ	2265.278239
KR	0018d00000K0aSPAAZ	2205.857142
AE	0018d00000K0WWqAAN	2205
BR	0018d00000K0VJLAA3	2204.056652
TR	0018d00000K0WFzAAN	2203.474722
TR	0018d00000K0VIzAAN	2202.787851
TW	0018d00000K0WubAAF	2191.090289
TW	0018d00000MXJB5AAP	2191.09
AE	0018d00000K0ZGtAAN	2191
TR	0018d00000K0WvpAAF	2187.165081
AE	0018d00000ds9cCAAQ	2186
FR	0018d00000K0Y4SAAV	2163.782002
ID	0018d00000K0WBeAAN	2151.908919
MY	0018d00000K0YpmAAF	2139.49097
TR	0018d00000K0WQ1AAN	2134.047621
TR	0018d00000K0bqMAAR	2133.549828
AE	0018d00000K0VZyAAN	2127
AE	0018d00000K0aGMAAZ	2125
TR	0018d00000K0ZrwAAF	2124.674731
BR	0018d00000K0XA9AAN	2120.809886
TR	0018d00000K0ZsFAAV	2107.239933
TW	0018d00000K0cFrAAJ	2107.202299
ID	0018d00000K0U2TAAV	2100
AE	0018d00000K0WWpAAN	2100
TR	0018d00000K0VmLAAV	2099.677872
MY	0018d00000LdOwTAAV	2098.444365
MX	0018d00000ibmLKAAY	2098.368865
AU	0018d00000k9YrOAAU	2097.371467
RU	0018d00000K0VVXAA3	2091.555752
VN	0018d00000K0VxrAAF	2079
MY	0018d00000K0UblAAF	2070
ID	0018d00000K0URoAAN	2055
SC	0018d00000Xfeu4AAB	2050
TR	0018d00000K0aJIAAZ	2046.873954
TW	001Pz0000075CaqIAE	2042.032787
ID	0018d00000K0Z7gAAF	2038.660255
ID	0018d00000K0UVyAAN	2016.535292
TR	0018d00000K0ZcSAAV	2001.756101
TH	0018d00000K0XxzAAF	2000
ID	0018d00000K0XwsAAF	2000
VN	0018d00000K0VUwAAN	2000
AE	0018d00000etUyTAAU	2000
US	0018d00000cbrIkAAI	2000
AE	0018d00000K0dKcAAJ	2000
ID	0018d00000K0V05AAF	1994.410682
TR	0018d00000hDZVXAA4	1982.415453
BR	0018d00000K0YrpAAF	1982.06559
PL	001Pz00000AP6J4IAL	1980.942651
PL	0018d00000K0XsRAAV	1974.451073
JP	0018d00000K0ZOnAAN	1973.014285
ID	0018d00000K0WRoAAN	1966.596426
AU	0018d00000QFCD1AAP	1966.28589
TR	0018d00000QDXzkAAH	1963.761844
TR	0018d00000K0YapAAF	1952.825937
VN	0018d00000K0XbKAAV	1950
NL	0018d00000K0boCAAR	1947.40317
TR	001Pz000002dpHlIAI	1946.577074
TR	0018d00000K0UC5AAN	1940.328113
MY	0018d00000K0U5XAAV	1938
ES	0018d00000K0U8wAAF	1924.684949
TR	0018d00000K0ZBfAAN	1912.207732
AU	0018d00000KPBCAAA5	1900.742595
PL	0018d00000K0cFsAAJ	1897.416107
TR	0018d00000K0VIiAAN	1891.897117
BR	0018d00000KPBDDAA5	1882.962213
KR	0018d00000K0avtAAB	1882.331428
RU	0018d00000K0TuGAAV	1879.529612
VN	0018d00000K0VP6AAN	1875
TR	0018d00000K0ZJgAAN	1874.713112
TR	0018d00000K0bu2AAB	1874.681691
TR	0018d00000WC3BGAA1	1855.028035
AE	001Pz0000051zoBIAQ	1848
KR	0018d00000k9SxoAAE	1838.214317
RU	001Pz000002ZlvmIAC	1828.363877
TW	0018d00000K0U6JAAV	1827.525981
AU	0018d00000S7dF6AAJ	1827.334772
TR	0018d00000K0U9gAAF	1824.720905
SG	0018d00000K0XZjAAN	1821.676516
ID	0018d00000K0aisAAB	1808
VN	001Pz00000231BMIAY	1800
TR	001Pz000006LFF7IAO	1800
AE	0018d00000K0XRKAA3	1800
TW	0018d00000VMmJ9AAL	1799.167146
TR	001Pz000002WSmXIAW	1795.350036
PL	0018d00000K0XpLAAV	1787.283934
TR	0018d00000K0YujAAF	1785.663629
BR	0018d00000K0V8xAAF	1783.858787
MX	0018d00000K0XW6AAN	1782
TR	0018d00000K0UdnAAF	1776.602467
TR	0018d00000T4GXEAA3	1776.041
VN	0018d00000K0ZUOAA3	1772
TR	0018d00000K0bDbAAJ	1766.66711
UK	0018d00000K0awCAAR	1761
MX	0018d00000m4gojAAA	1755
VN	0018d00000K0WmFAAV	1750
TR	0018d00000K0VVhAAN	1749.732007
NL	0018d00000K0VYmAAN	1732.107142
TR	001Pz000009hN4EIAU	1718.487
TR	0018d00000K0XryAAF	1716.924925
TR	0018d00000K0Zo8AAF	1713.019119
TW	0018d00000VPAIAAA5	1711.867142
BR	0018d00000K0X6WAAV	1704.576289
TR	001Pz000002e1STIAY	1699.739587
TW	0018d00000K0cA2AAJ	1698.094998
ID	0018d00000Ol3OYAAZ	1697.303385
VN	0018d00000K0VBpAAN	1690
BR	0018d00000hDMUtAAO	1684.755573
TW	0018d00000K0WdIAAV	1680
BR	0018d00000WBujOAAT	1676
ID	0018d00000K0ahsAAB	1662.535401
TR	0018d00000O9IfAAAV	1651.652776
UK	0018d00000K0XlVAAV	1650.575369
TH	001Pz000007PCA2IAO	1650
JP	0018d00000MWzgGAAT	1644.178886
TR	0018d00000WD4kKAAT	1638.659
AU	0018d00000QGbjHAAT	1630.706684
